participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt,resp_ret_confidence.keys,resp_ret_confidence.rt,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,sem1,sem2,sem3,sem4,sem5,sem6,spa1,spa2,spa3,spa4,spa5,spa6,fut1,fut2,fut3,fut4,fut5,fut6,per_1,per_2,per_3,per_4,sun_1,sun_2,sun_3,sun_4,shop_1,shop_2,shop_3,shop_4,scene_1,scene_2,scene_3,scene_4,age
100,19,11,Holiday,Wine,Julia,Pool,3.1863,21,1.009259295,0.4121,person,object,place,0,8.433,4,0,4.2182,1,0,5.9073,4,1,2.1651,2,1,0.6495,1,1,1.1262,2,12,2,0.7799,1.009259295,2.1075,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,16,12,Winter,Record,David,DiningRoom,5.2966,11,5.194444727,1.9742,place,person,object,0,5.6397,1,1,1.2967,2,1,2.4964,3,1,1.1061,1,1,1.1385,1,1,1.4532,1,14,1,0.3409,4.069444586,1.9484,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,3,13,Music,Bike,Hugh,Lighthouse,3.3424,4,4.564814815,1.9076,person,place,object,0,11.7805,2,1,7.3857,1,1,3.1198,1,1,1.7102,2,1,2.5589,2,1,1.6478,2,9,1,0.3693,3.625000212,2.6766,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,24,14,Family,Extinguisher,Anne,Basketball,4.1787,13,5.768518519,0.59,person,place,object,1,3.2539,4,1,0.9853,2,1,1.3299,3,1,3.724,1,1,1.4849,1,0,1.134,1,5,1,0.6286,5.768518519,1.5376,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,6,15,Sightseeing,Ladder,Keanu,Beach,14.8386,7,5.833333757,0.7191,object,place,person,1,2.9677,2,1,2.0081,1,1,1.9127,3,1,1.1879,2,0,0.7833,1,1,2.0522,2,6,1,0.6013,5.944444586,1.6474,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,9,16,Shopping,Duster,Robin,Kitchen,6.1943,3,5.222222081,3.0296,place,object,person,1,4.7736,4,1,1.739,2,1,10.3011,1,1,1.709,2,1,1.1298,1,1,3.0011,1,16,1,0.4721,4.499999929,1.9491,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,14,17,Relaxing,Stroller,Dolly,Ski,6.795,17,5.462963387,0.7354,place,person,object,1,2.3335,1,1,2.542,1,1,0.8401,2,1,1.0674,2,1,1.1399,2,1,0.8737,1,24,1,0.436,5.800925785,1.608,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,8,18,Competition,Goggles,Princess,Savannah,12.6786,12,5.902778202,0.4282,place,object,person,1,4.1338,1,1,1.8065,1,1,1.5174,4,1,0.9909,1,0,0.7786,1,1,1.7674,1,23,1,0.4741,5.902778202,1.4626,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,1,19,Date,Jug,Helena,Studio,7.1627,22,5.972222646,1.0979,person,place,object,1,3.9056,3,1,1.6076,3,1,0.7794,2,1,1.4053,1,0,0.6333,1,1,0.7163,2,21,1,0.5066,5.972222646,1.581,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,20,20,Friends,Backpack,Daniel,Bridge,2.9166,1,5.888889171,2.3102,object,place,person,1,6.0193,3,1,9.0453,4,1,3.2726,2,1,3.7505,2,1,1.5005,1,1,1.5303,1,15,1,0.2716,5.856481905,2.6522,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,2,21,Volunteer,Flowers,Jennifer,Waterfall,4.0267,5,5.962962822,0.4738,person,place,object,1,3.6269,1,1,1.6516,3,1,1.1761,4,1,2.1226,2,1,1.2607,1,1,1.9243,1,4,1,0.5065,5.962962822,1.6976,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,13,22,Errands,Stopwatch,Tom,Icerink,6.4299,20,5.222222081,0.7095,place,object,person,1,6.6548,3,1,1.6103,4,1,2.216,1,1,1.1881,1,1,0.8445,1,0,0.8872,1,20,2,0.4008,4.814814885,2.3974,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,22,23,Travel,Computer,George,Field,7.5923,16,4.981481481,0.4443,object,person,place,1,4.4785,4,1,1.897,1,1,1.3169,1,1,1.0542,1,1,0.8237,2,1,1.3342,2,11,3,0.6629,4.981481481,1.769,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,21,24,Home,Gardengloves,Britney,Cabin,2.9448,2,4.736111323,1.9356,place,object,person,1,14.6101,2,1,4.0302,1,1,2.2473,3,1,3.1001,1,1,1.7166,2,1,4.1368,2,17,1,0.4177,5.037036896,1.774,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
101,16,1,Winter,Record,David,DiningRoom,12.2711,12,4.620370653,0.4805,place,person,object,0,7.4025,3,1,2.2208,2,1,3.2697,3,0,1.5414,2,0,1.0891,2,1,0.7554,1,9,1,0.586,4.620370653,1.5403,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,4,2,Exercise,Beachball,Will,Casino,11.1195,22,2.152777778,0.4532,object,person,place,0,3.0512,4,1,2.3694,2,0,1.741,1,0,0.956,2,0,1.3852,1,1,1.0516,1,24,1,0.2094,2.157407549,1.2253,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,22,3,Travel,Computer,George,Field,8.5379,1,2.430555556,2.3337,object,person,place,0,7.7374,1,1,5.3397,1,1,4.8033,1,1,2.2239,1,1,1.4269,2,1,2.8021,2,6,1,0.6578,3.685185326,5.6671,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,10,4,Work,Easel,Sean,Aquarium,3.5869,14,1.611111111,0.9695,object,place,person,0,3.6671,4,1,2.6342,4,1,2.0791,4,0,1.2883,2,0,1.753,1,1,1.3085,1,17,1,0.7848,2.097222222,1.3898,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,2,5,Volunteer,Flowers,Jennifer,Waterfall,1.9127,7,4.981481764,0.7046,person,place,object,1,2.6568,1,1,4.8932,3,1,1.504,4,1,1.4307,2,1,1.1183,1,0,1.4502,2,15,1,0.2061,4.981481764,1.5364,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,14,6,Relaxing,Stroller,Dolly,Ski,10.5773,18,4.101851993,0.5223,place,person,object,1,2.9796,1,0,2.4149,4,1,0.9247,2,1,1.1866,2,0,1.4409,1,1,1.0564,1,4,1,0.4023,4.106481764,1.5656,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,15,7,Celebration,Football,Meryl,Harbor,7.3992,21,1.958333333,0.6362,object,person,place,1,3.353,1,0,0.957,1,0,1.7071,3,0,0.9854,1,0,0.8027,2,0,0.7566,2,1,1,2.035,1.675925997,2.008,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,5,8,Party,Satchel,Judi,Bowling,1.3292,3,1.962963104,1.5535,place,person,object,1,7.0587,3,0,3.634,1,0,2.3214,2,0,1.62,1,0,2.3207,2,0,1.071,1,12,2,0.7021,2.583333333,2.2327,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,11,9,Games,Binoculars,Harrison,Lake,3.4683,16,2.157407549,0.4424,object,place,person,1,4.25,3,0,2.4072,4,1,3.155,2,0,1.1476,2,1,1.32,1,1,0.967,2,14,1,0.3807,2.157407549,1.5233,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,13,10,Errands,Stopwatch,Tom,Icerink,12.0514,6,1.069444444,0.4186,place,object,person,0,3.9568,1,1,2.1547,4,0,2.771,3,0,1.4481,2,0,0.908,2,0,1.0383,1,13,1,0.6684,1.069444444,1.8028,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,3,11,Music,Bike,Hugh,Lighthouse,0.0957,4,1.273148219,1.5661,person,place,object,1,4.2548,4,1,6.0524,1,0,2.4203,3,1,1.5905,2,0,1.4056,1,1,1.2938,2,21,2,1.2066,1.819444444,2.1184,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,12,12,Studying,Trampoline,Elvis,Classroom,11.1726,8,3.425926208,0.431,place,person,object,1,5.1691,4,0,2.8233,3,1,1.4385,4,0,1.351,1,1,0.9048,2,1,0.7293,1,8,1,1.0862,3.425926208,1.6205,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,23,13,Eating,Hammock,Brad,Restaurant,1.1421,15,4.16203732,1.2797,person,object,place,0,2.3191,3,1,4.2432,3,1,0.8017,3,1,1.3428,1,1,1.4544,2,1,1.2626,2,23,1,0.3373,4.115740882,1.7703,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,20,14,Friends,Backpack,Daniel,Bridge,2.0383,23,1.875,0.5241,object,place,person,0,3.381,2,0,0.7582,3,0,0.5164,3,0,1.3705,1,0,0.771,2,1,1.1358,1,3,1,0.4588,1.875,1.6966,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,21,15,Home,Gardengloves,Britney,Cabin,6.3661,5,1.069444444,1.5217,place,object,person,0,3.1562,1,0,2.7721,4,1,2.3372,3,1,1.5201,1,1,0.9052,2,1,1.5046,2,5,1,0.358,1.060185326,1.5537,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,7,16,Art,Headphones,Nicole,Avenue,13.866,24,2.189814885,0.48,person,object,place,0,3.3026,1,0,2.8367,3,1,2.8032,3,0,1.1038,2,0,0.7408,1,0,0.938,2,2,2,0.9002,2.189814885,1.2215,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,8,17,Competition,Goggles,Princess,Savannah,6.2573,19,2.694444444,0.505,place,object,person,1,4.5887,1,0,1.5054,3,0,2.7197,1,0,1.238,2,0,0.768,1,0,1.0075,2,10,1,4.0514,2.694444444,1.4279,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,24,18,Family,Extinguisher,Anne,Basketball,3.0376,9,1.212963104,0.872,person,place,object,0,3.1081,1,1,5.4526,2,0,2.3965,4,1,1.7554,1,1,0.9375,1,1,0.6476,2,7,1,0.7664,1.949074215,1.4713,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,6,19,Sightseeing,Ladder,Keanu,Beach,4.7602,17,2.351851993,0.4907,object,place,person,0,3.3523,1,0,4.5698,3,0,2.4891,2,0,1.3195,1,0,0.9667,1,1,1.4719,2,16,1,0.4021,2.351851993,1.3406,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,9,20,Shopping,Duster,Robin,Kitchen,3.7281,2,1.050925997,3.7917,place,object,person,0,10.9226,3,0,5.3455,3,0,2.2378,4,0,2.434,1,0,3.2406,2,1,1.2737,1,22,1,0.4606,1.00925933,2.2898,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,17,21,Summer,Puppy,Sandra,Circus,,13,1.629629771,0.7217,object,person,place,1,4.3367,4,1,1.4513,4,1,2.019,1,0,1.2295,1,1,1.506,1,0,1.6623,1,11,1,0.3518,2.00925933,1.6209,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,19,22,Holiday,Wine,Julia,Pool,0.6365,20,1.180555556,1.0724,person,object,place,0,3.1378,4,0,2.9714,2,0,1.8229,1,1,0.856,2,1,0.8054,1,0,0.8227,1,20,1,1.0446,1.180555556,1.91,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,18,23,DIY,Chair,Beyonce,Winecellar,15.2704,10,1.63425933,0.6718,person,object,place,0,3.9028,4,1,2.7052,3,1,1.8532,4,1,1.2124,2,1,0.9725,1,0,1.0709,2,19,1,0.4336,1.76851866,1.4469,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
101,1,24,Date,Jug,Helena,Studio,9.5016,11,1.740740882,0.4202,person,place,object,0,7.7342,2,0,3.5513,1,0,3.1711,3,1,1.2872,1,0,2.2384,1,1,0.807,2,18,1,0.5475,1.740740882,1.6753,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
102,24,1,Family,Extinguisher,Anne,Basketball,12.9057,17,4.119750977,1.6481,person,place,object,1,5.068,4,1,4.5747,2,1,1.4742,3,0,1.7393,2,1,1.3209,1,1,1.9449,2,1,2,2.7664,3.707788086,1.5648,2,1,4,3,4,3,2,3,3,2,3,2,3,4,4,5,3,1,4,5,4,4,3,4,4,3,3,4,3,4,2,4,3,4,4,3,4,4,3,3,3,2,0
102,22,2,Travel,Computer,George,Field,11.2745,6,3.797363281,1.012,object,person,place,1,10.3548,4,0,5.4084,4,1,5.6869,1,1,1.7236,1,0,3.6635,1,1,2.3468,2,21,2,2.293,3.725317383,1.0476,2,1,4,3,4,3,2,3,3,2,3,2,3,4,4,5,3,1,4,5,4,4,3,4,4,3,3,4,3,4,2,4,3,4,4,3,4,4,3,3,3,2,0
102,23,3,Eating,Hammock,Brad,Restaurant,13.7805,18,3.775952148,0.8939,person,object,place,0,3.9146,4,1,4.7037,3,1,0.7544,3,0,1.2916,2,1,1.2819,2,1,1.1592,2,8,2,1.1613,3.775952148,1.716,2,1,4,3,4,3,2,3,3,2,3,2,3,4,4,5,3,1,4,5,4,4,3,4,4,3,3,4,3,4,2,4,3,4,4,3,4,4,3,3,3,2,0
102,20,4,Friends,Backpack,Daniel,Bridge,15.654,15,4.862133789,1.3482,object,place,person,1,4.065,3,1,1.7621,4,1,1.4764,2,1,1.1564,2,1,1.0438,1,1,1.6136,1,2,1,1.3456,4.790527344,1.4687,2,1,4,3,4,3,2,3,3,2,3,2,3,4,4,5,3,1,4,5,4,4,3,4,4,3,3,4,3,4,2,4,3,4,4,3,4,4,3,3,3,2,0
102,17,5,Summer,Puppy,Sandra,Circus,8.882,22,4.361035156,1.3146,object,person,place,1,5.9244,4,0,2.1421,3,1,1.1247,1,1,1.0553,2,1,2.0472,1,0,1.2767,1,7,2,1.0428,4.058227539,1.7213,2,1,4,3,4,3,2,3,3,2,3,2,3,4,4,5,3,1,4,5,4,4,3,4,4,3,3,4,3,4,2,4,3,4,4,3,4,4,3,3,3,2,0
102,9,6,Shopping,Duster,Robin,Kitchen,13.8378,4,3.587133789,1.5851,place,object,person,1,4.0364,4,1,3.4504,2,1,3.9024,1,0,4.9538,1,1,1.5925,1,0,1.7083,2,9,1,0.9034,3.708203125,1.0833,2,1,4,3,4,3,2,3,3,2,3,2,3,4,4,5,3,1,4,5,4,4,3,4,4,3,3,4,3,4,2,4,3,4,4,3,4,4,3,3,3,2,0
102,5,7,Party,Satchel,Judi,Bowling,11.3755,13,3.983544922,1.4016,place,person,object,1,15.069,3,1,5.662,3,1,3.5609,1,1,3.5645,2,1,1.3897,1,1,1.2091,2,15,1,1.0376,3.646020508,1.4551,2,1,4,3,4,3,2,3,3,2,3,2,3,4,4,5,3,1,4,5,4,4,3,4,4,3,3,4,3,4,2,4,3,4,4,3,4,4,3,3,3,2,0
102,16,8,Winter,Record,David,DiningRoom,10.7375,11,3.283789063,1.2969,place,person,object,1,7.6013,2,0,3.3801,4,1,4.6748,3,1,1.3262,1,1,2.2458,1,1,0.8586,1,17,1,0.7906,3.564257813,1.5317,2,1,4,3,4,3,2,3,3,2,3,2,3,4,4,5,3,1,4,5,4,4,3,4,4,3,3,4,3,4,2,4,3,4,4,3,4,4,3,3,3,2,0
102,10,9,Work,Easel,Sean,Aquarium,13.7207,1,2.917944336,3.3533,object,place,person,1,9.1176,2,1,7.4259,4,1,5.5499,4,1,2.5623,1,1,2.1194,2,1,3.3975,1,4,3,1.558,3.598876953,4.147,2,1,4,3,4,3,2,3,3,2,3,2,3,4,4,5,3,1,4,5,4,4,3,4,4,3,3,4,3,4,2,4,3,4,4,3,4,4,3,3,3,2,0
102,8,10,Competition,Goggles,Princess,Savannah,12.8798,23,3.571557617,1.1693,place,object,person,1,9.1517,1,1,2.7845,1,1,2.3631,4,0,1.4777,2,1,2.6345,2,1,1.3691,1,13,1,0.7542,4.361035156,1.0781,2,1,4,3,4,3,2,3,3,2,3,2,3,4,4,5,3,1,4,5,4,4,3,4,4,3,3,4,3,4,2,4,3,4,4,3,4,4,3,3,3,2,0
102,19,11,Holiday,Wine,Julia,Pool,8.5848,3,3.708203125,1.6677,person,object,place,0,5.8437,2,1,4.6349,4,1,1.4746,2,1,2.5761,2,1,1.794,1,0,2.1785,1,10,2,0.5899,3.772143555,1.0964,2,1,4,3,4,3,2,3,3,2,3,2,3,4,4,5,3,1,4,5,4,4,3,4,4,3,3,4,3,4,2,4,3,4,4,3,4,4,3,3,3,2,0
102,7,12,Art,Headphones,Nicole,Avenue,12.2167,19,4.102001953,0.9606,person,object,place,0,4.9702,3,1,6.0789,2,1,2.3455,3,0,1.7297,2,1,2.3919,2,0,1.1602,2,12,2,0.4874,3.775952148,0.8944,2,1,4,3,4,3,2,3,3,2,3,2,3,4,4,5,3,1,4,5,4,4,3,4,4,3,3,4,3,4,2,4,3,4,4,3,4,4,3,3,3,2,0
102,2,13,Volunteer,Flowers,Jennifer,Waterfall,14.9978,10,3.642675781,1.4707,person,place,object,0,5.0931,4,1,1.9593,3,1,3.4911,4,0,2.4435,1,1,1.1215,1,1,1.2914,1,5,1,1.6628,4.075830078,2.0524,2,1,4,3,4,3,2,3,3,2,3,2,3,4,4,5,3,1,4,5,4,4,3,4,4,3,3,4,3,4,2,4,3,4,4,3,4,4,3,3,3,2,0
102,21,14,Home,Gardengloves,Britney,Cabin,8.4471,5,3.720922852,1.1637,place,object,person,1,6.1774,2,1,2.1727,1,0,3.3629,2,1,1.3707,1,1,1.0258,2,1,2.7616,2,19,2,0.8378,3.587133789,1.0132,2,1,4,3,4,3,2,3,3,2,3,2,3,4,4,5,3,1,4,5,4,4,3,4,4,3,3,4,3,4,2,4,3,4,4,3,4,4,3,3,3,2,0
